PROCESS4,5,0,276,0,148,0
PROCESS7,12,4,568,0,306,0
PROCESS8,15,6,1008,111,682,0
PROCESS12,9,4,873,0,702,0
PROCESS16,15,6,1336,433,1011,0
PROCESS19,10,6,1432,471,1260,0
PROCESS6,10,3,1734,1009,1481,0
PROCESS23,10,2,1891,1218,1704,0
PROCESS3,8,4,2018,1479,1930,0
PROCESS24,12,3,2360,1812,2078,0
PROCESS18,10,7,2350,1869,2218,0
PROCESS2,6,3,2437,2056,2347,0
PROCESS1,7,2,2670,2187,2476,0
PROCESS10,4,1,2709,2437,2591,0
PROCESS5,8,2,3004,2535,2812,0
PROCESS11,8,4,3156,2738,2996,0
PROCESS9,12,2,3656,2830,3316,0
PROCESS21,10,4,3719,3045,3575,0
PROCESS14,10,3,4026,3164,3802,0
PROCESS20,9,4,3834,3207,3692,0
PROCESS25,13,3,4371,3342,4134,0
PROCESS22,14,7,4473,3474,4279,0
PROCESS15,11,3,4800,3988,4540,0
PROCESS17,16,6,5214,4199,4871,0
PROCESS13,10,4,5245,4502,5109,0
